time,p_x,p_y,p_z
1.998000000000000043e+01,-6.615210175514221191e-01,-6.121242642402648926e-01,9.909077286720275879e-01
1.998999999999999844e+01,-6.614727377891540527e-01,-6.122013330459594727e-01,9.909126758575439453e-01
2.000000000000000000e+01,-6.614257097244262695e-01,-6.122781634330749512e-01,9.909152388572692871e-01
2.001000000000000156e+01,-6.613801121711730957e-01,-6.123547554016113281e-01,9.911225438117980957e-01
2.001999999999999957e+01,-6.613317131996154785e-01,-6.124325394630432129e-01,9.911918044090270996e-01
2.003000000000000114e+01,-6.612699031829833984e-01,-6.125177145004272461e-01,9.915307760238647461e-01
2.003999999999999915e+01,-6.611890792846679688e-01,-6.126126050949096680e-01,9.918196797370910645e-01
2.005000000000000071e+01,-6.610678434371948242e-01,-6.127276420593261719e-01,9.923692941665649414e-01
2.005999999999999872e+01,-6.608985066413879395e-01,-6.128659844398498535e-01,9.929815530776977539e-01
2.007000000000000028e+01,-6.606535911560058594e-01,-6.130389571189880371e-01,9.938459396362304688e-01
2.007999999999999829e+01,-6.603201627731323242e-01,-6.132498383522033691e-01,9.948669672012329102e-01
2.008999999999999986e+01,-6.598675251007080078e-01,-6.135081052780151367e-01,9.961602091789245605e-01
2.010000000000000142e+01,-6.592822670936584473e-01,-6.138148903846740723e-01,9.976451396942138672e-01
2.010999999999999943e+01,-6.585335135459899902e-01,-6.141765117645263672e-01,9.993939399719238281e-01
2.012000000000000099e+01,-6.576141119003295898e-01,-6.145901679992675781e-01,1.001301407814025879e+00
2.012999999999999901e+01,-6.565012931823730469e-01,-6.150578856468200684e-01,1.003381729125976562e+00
2.014000000000000057e+01,-6.551815271377563477e-01,-6.155791878700256348e-01,1.005605578422546387e+00
2.014999999999999858e+01,-6.536396145820617676e-01,-6.161538958549499512e-01,1.007961273193359375e+00
2.016000000000000014e+01,-6.518628001213073730e-01,-6.167811751365661621e-01,1.010434746742248535e+00
2.017000000000000171e+01,-6.498400568962097168e-01,-6.174595355987548828e-01,1.013009428977966309e+00
2.017999999999999972e+01,-6.475616097450256348e-01,-6.181873083114624023e-01,1.015671133995056152e+00
2.019000000000000128e+01,-6.450164914131164551e-01,-6.189628243446350098e-01,1.018417358398437500e+00
2.019999999999999929e+01,-6.422013640403747559e-01,-6.197829246520996094e-01,1.021220564842224121e+00
2.021000000000000085e+01,-6.391028761863708496e-01,-6.206454634666442871e-01,1.024095416069030762e+00
2.021999999999999886e+01,-6.357239484786987305e-01,-6.215463280677795410e-01,1.027001619338989258e+00
2.023000000000000043e+01,-6.320518255233764648e-01,-6.224828958511352539e-01,1.029960274696350098e+00
2.023999999999999844e+01,-6.280887722969055176e-01,-6.234511137008666992e-01,1.032942771911621094e+00
2.025000000000000000e+01,-6.238276958465576172e-01,-6.244476437568664551e-01,1.035958051681518555e+00
2.026000000000000156e+01,-6.192728877067565918e-01,-6.254678964614868164e-01,1.038977384567260742e+00
2.026999999999999957e+01,-6.144182682037353516e-01,-6.265084147453308105e-01,1.042011141777038574e+00
2.028000000000000114e+01,-6.092628240585327148e-01,-6.275653839111328125e-01,1.045056462287902832e+00
2.028999999999999915e+01,-6.038080453872680664e-01,-6.286346912384033203e-01,1.048104047775268555e+00
2.030000000000000071e+01,-5.980542302131652832e-01,-6.297124624252319336e-01,1.051151275634765625e+00
2.030999999999999872e+01,-5.920027494430541992e-01,-6.307948231697082520e-01,1.054195284843444824e+00
2.032000000000000028e+01,-5.856539011001586914e-01,-6.318784356117248535e-01,1.057238459587097168e+00
2.032999999999999829e+01,-5.790145397186279297e-01,-6.329593062400817871e-01,1.060263752937316895e+00
2.033999999999999986e+01,-5.720827579498291016e-01,-6.340337395668029785e-01,1.063284039497375488e+00
2.035000000000000142e+01,-5.648696422576904297e-01,-6.350986957550048828e-01,1.066272020339965820e+00
2.035999999999999943e+01,-5.573722720146179199e-01,-6.361507177352905273e-01,1.069249272346496582e+00
2.037000000000000099e+01,-5.496016144752502441e-01,-6.371869444847106934e-01,1.072191715240478516e+00
2.037999999999999901e+01,-5.415573716163635254e-01,-6.382037401199340820e-01,1.075114846229553223e+00
2.039000000000000057e+01,-5.332518219947814941e-01,-6.391985416412353516e-01,1.077992081642150879e+00
2.039999999999999858e+01,-5.246853232383728027e-01,-6.401678323745727539e-01,1.080840110778808594e+00
2.041000000000000014e+01,-5.158685445785522461e-01,-6.411094665527343750e-01,1.083642482757568359e+00
2.042000000000000171e+01,-5.068039894104003906e-01,-6.420203447341918945e-01,1.086411476135253906e+00
2.042999999999999972e+01,-4.975043833255767822e-01,-6.428984403610229492e-01,1.089123249053955078e+00
2.044000000000000128e+01,-4.879734218120574951e-01,-6.437405943870544434e-01,1.091789484024047852e+00
2.044999999999999929e+01,-4.782181680202484131e-01,-6.445442438125610352e-01,1.094409704208374023e+00
2.046000000000000085e+01,-4.682486653327941895e-01,-6.453072428703308105e-01,1.096971869468688965e+00
2.046999999999999886e+01,-4.580700099468231201e-01,-6.460266709327697754e-01,1.099484682083129883e+00
2.048000000000000043e+01,-4.476916491985321045e-01,-6.467005610466003418e-01,1.101939916610717773e+00
2.048999999999999844e+01,-4.371225833892822266e-01,-6.473270058631896973e-01,1.104329824447631836e+00
2.050000000000000000e+01,-4.263697564601898193e-01,-6.479042172431945801e-01,1.106659054756164551e+00
2.051000000000000156e+01,-4.154410362243652344e-01,-6.484303474426269531e-01,1.108925819396972656e+00
