time,p_x,p_y,p_z
2.516000000000000014e+01,7.123098969459533691e-01,-8.186262249946594238e-01,8.701637983322143555e-01
2.517000000000000171e+01,7.112352252006530762e-01,-8.180249929428100586e-01,8.703420162200927734e-01
2.517999999999999972e+01,7.100188732147216797e-01,-8.173603415489196777e-01,8.705253005027770996e-01
2.519000000000000128e+01,7.086563706398010254e-01,-8.166289329528808594e-01,8.707191348075866699e-01
2.519999999999999929e+01,7.071441411972045898e-01,-8.158276081085205078e-01,8.709284663200378418e-01
2.521000000000000085e+01,7.054802179336547852e-01,-8.149533271789550781e-01,8.711515069007873535e-01
2.521999999999999886e+01,7.036628723144531250e-01,-8.140034675598144531e-01,8.713893294334411621e-01
2.523000000000000043e+01,7.016901969909667969e-01,-8.129749894142150879e-01,8.716465234756469727e-01
2.523999999999999844e+01,6.995614767074584961e-01,-8.118656873703002930e-01,8.719181418418884277e-01
2.525000000000000000e+01,6.972761750221252441e-01,-8.106735348701477051e-01,8.722016215324401855e-01
2.526000000000000156e+01,6.948335170745849609e-01,-8.093961477279663086e-01,8.724958896636962891e-01
2.526999999999999957e+01,6.922335028648376465e-01,-8.080319762229919434e-01,8.727974295616149902e-01
2.528000000000000114e+01,6.894763708114624023e-01,-8.065795302391052246e-01,8.731016516685485840e-01
2.528999999999999915e+01,6.865615844726562500e-01,-8.050360679626464844e-01,8.734136819839477539e-01
2.530000000000000071e+01,6.834908127784729004e-01,-8.034007549285888672e-01,8.737257719039916992e-01
2.530999999999999872e+01,6.802645921707153320e-01,-8.016717433929443359e-01,8.740396499633789062e-01
2.532000000000000028e+01,6.768838763236999512e-01,-7.998478412628173828e-01,8.743569254875183105e-01
2.532999999999999829e+01,6.733500361442565918e-01,-7.979277372360229492e-01,8.746781945228576660e-01
2.533999999999999986e+01,6.696646213531494141e-01,-7.959100604057312012e-01,8.750017285346984863e-01
2.535000000000000142e+01,6.658307313919067383e-01,-7.937941551208496094e-01,8.753213286399841309e-01
2.535999999999999943e+01,6.618513464927673340e-01,-7.915793657302856445e-01,8.756290078163146973e-01
2.537000000000000099e+01,6.577290296554565430e-01,-7.892646789550781250e-01,8.759222626686096191e-01
2.537999999999999901e+01,6.534666419029235840e-01,-7.868492603302001953e-01,8.761976957321166992e-01
2.539000000000000057e+01,6.490662097930908203e-01,-7.843320965766906738e-01,8.764588832855224609e-01
2.539999999999999858e+01,6.445310115814208984e-01,-7.817125916481018066e-01,8.767023682594299316e-01
